2026-07-21T11:46:29.221145223Z [inf]  Starting Container
2026-07-21T11:46:29.617127760Z [inf]  2026-07-21 11:46:29,557 INFO spawned: 'nginx' with pid 12
2026-07-21T11:46:29.617131580Z [inf]  2026-07-21 11:46:29,557 INFO spawned: 'nginx' with pid 12
2026-07-21T11:46:29.617135020Z [inf]  2026-07-21 11:46:29,558 INFO spawned: 'php-fpm' with pid 13
2026-07-21T11:46:29.617138399Z [inf]  2026-07-21 11:46:29,558 INFO spawned: 'php-fpm' with pid 13
2026-07-21T11:46:29.617141709Z [err]  nginx: [emerg] "server" directive is not allowed here in /etc/nginx/conf.d/default.conf:1
2026-07-21T11:46:29.617145089Z [inf]  2026-07-21 11:46:29,562 WARN exited: nginx (exit status 1; not expected)
2026-07-21T11:46:29.617148919Z [inf]  2026-07-21 11:46:29,562 WARN exited: nginx (exit status 1; not expected)
2026-07-21T11:46:29.617151979Z [inf]  <br />
2026-07-21T11:46:29.617155709Z [inf]  <b>Warning</b>:  PHP Startup: Unable to load dynamic library 'gd' (tried: /usr/local/lib/php/extensions/no-debug-non-zts-20230831/gd (Error loading shared library /usr/local/lib/php/extensions/no-debug-non-zts-20230831/gd: No such file or directory), /usr/local/lib/php/extensions/no-debug-non-zts-20230831/gd.so (Error loading shared library libpng16.so.16: No such file or directory (needed by /usr/local/lib/php/extensions/no-debug-non-zts-20230831/gd.so))) in <b>Unknown</b> on line <b>0</b><br />
2026-07-21T11:46:29.617158719Z [inf]  <br />
2026-07-21T11:46:29.617162159Z [inf]  <b>Warning</b>:  PHP Startup: Unable to load dynamic library 'intl' (tried: /usr/local/lib/php/extensions/no-debug-non-zts-20230831/intl (Error loading shared library /usr/local/lib/php/extensions/no-debug-non-zts-20230831/intl: No such file or directory), /usr/local/lib/php/extensions/no-debug-non-zts-20230831/intl.so (Error loading shared library libicuio.so.78: No such file or directory (needed by /usr/local/lib/php/extensions/no-debug-non-zts-20230831/intl.so))) in <b>Unknown</b> on line <b>0</b><br />
2026-07-21T11:46:29.617165209Z [inf]  <br />
2026-07-21T11:46:29.617169189Z [inf]  <b>Warning</b>:  PHP Startup: Unable to load dynamic library 'pdo_pgsql' (tried: /usr/local/lib/php/extensions/no-debug-non-zts-20230831/pdo_pgsql (Error loading shared library /usr/local/lib/php/extensions/no-debug-non-zts-20230831/pdo_pgsql: No such file or directory), /usr/local/lib/php/extensions/no-debug-non-zts-20230831/pdo_pgsql.so (Error loading shared library libpq.so.5: No such file or directory (needed by /usr/local/lib/php/extensions/no-debug-non-zts-20230831/pdo_pgsql.so))) in <b>Unknown</b> on line <b>0</b><br />
2026-07-21T11:46:29.617482446Z [err]  [21-Jul-2026 11:46:29] NOTICE: fpm is running, pid 13
2026-07-21T11:46:29.617488466Z [err]  [21-Jul-2026 11:46:29] NOTICE: ready to handle connections
2026-07-21T11:46:30.700729082Z [inf]  2026-07-21 11:46:30,585 INFO spawned: 'nginx' with pid 16
2026-07-21T11:46:30.700735282Z [inf]  2026-07-21 11:46:30,585 INFO spawned: 'nginx' with pid 16
